Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
113,18.506,30.326,0,0.065,1.658,3.396,7.711,18.839,0.886
114,13.248,22.351,0,0.065,1.672,3.471,7.967,19.636,0.638
114,24.711,22.544,0,0.069,1.608,3.258,7.342,17.853,0.478
114,18.507,30.322,0,0.065,1.662,3.406,7.734,18.892,0.714
115,13.278,22.402,0,0.068,1.658,3.431,7.870,19.415,0.643
115,24.805,22.570,0,0.069,1.631,3.330,7.540,18.375,0.830
115,19.403,30.337,0,0.066,1.623,3.281,7.383,17.949,0.738
116,13.143,22.408,0,0.066,1.677,3.497,8.058,19.922,0.468
116,24.802,22.534,0,0.070,1.624,3.308,7.475,18.183,0.716
116,19.392,30.307,0,0.065,1.636,3.327,7.519,18.336,0.739
117,13.327,22.405,0,0.068,1.653,3.413,7.813,19.243,0.857
117,25.188,23.542,0,0.071,1.628,3.331,7.583,18.608,0.857
118,13.234,22.410,0,0.066,1.656,3.424,7.840,19.301,0.631
118,24.701,22.564,0,0.070,1.609,3.260,7.348,17.870,0.631
119,13.270,22.388,0,0.065,1.664,3.448,7.910,19.498,0.669
119,24.743,22.564,0,0.070,1.623,3.301,7.459,18.165,0.669
120,13.477,22.409,0,0.064,1.653,3.410,7.807,19.238,0.720
120,25.312,23.504,0,0.073,1.612,3.283,7.461,18.326,0.720
121,13.470,22.351,0,0.062,1.646,3.377,7.689,18.858,0.942
121,25.235,23.535,0,0.071,1.625,3.320,7.555,18.545,0.927
121,19.420,30.294,0,0.065,1.647,3.356,7.593,18.520,0.971
122,13.300,22.450,0,0.064,1.666,3.449,7.895,19.418,0.854
122,25.138,23.562,0,0.071,1.639,3.366,7.675,18.847,0.854
123,25.233,23.536,0,0.073,1.628,3.333,7.590,18.639,0.909
123,18.531,30.369,0,0.069,1.656,3.396,7.721,18.901,0.909
124,25.370,24.410,0,0.070,1.639,3.370,7.703,18.976,0.933
124,18.500,30.340,0,0.067,1.664,3.423,7.799,19.110,0.933
125,13.448,22.384,0,0.063,1.644,3.371,7.671,18.807,0.832
125,25.302,23.530,0,0.073,1.613,3.284,7.453,18.273,0.667
125,18.503,30.348,0,0.069,1.666,3.435,7.840,19.246,0.711
126,25.288,23.490,0,0.074,1.615,3.291,7.480,18.359,0.989
126,19.393,30.345,0,0.065,1.631,3.311,7.474,18.221,0.989
127,13.480,22.392,0,0.062,1.636,3.352,7.630,18.726,0.972
127,25.351,23.529,0,0.075,1.621,3.313,7.548,18.570,0.941
127,19.389,30.329,0,0.065,1.645,3.356,7.607,18.590,0.968
128,13.545,22.374,0,0.060,1.642,3.355,7.611,18.608,0.929
128,25.368,23.501,0,0.074,1.613,3.288,7.481,18.396,0.877
128,19.402,30.287,0,0.064,1.643,3.347,7.576,18.502,0.945
129,13.517,22.327,0,0.060,1.631,3.327,7.542,18.444,0.973
129,25.316,23.507,0,0.074,1.629,3.340,7.621,18.758,0.984
129,19.399,30.316,0,0.064,1.647,3.363,7.627,18.651,0.968
130,13.470,22.411,0,0.063,1.641,3.359,7.632,18.681,0.847
130,25.264,23.551,0,0.072,1.615,3.291,7.476,18.343,0.713
130,18.520,30.334,0,0.067,1.667,3.434,7.834,19.215,0.703
131,13.465,22.390,0,0.062,1.647,3.380,7.695,18.867,0.948
131,25.287,23.521,0,0.073,1.626,3.330,7.593,18.680,0.949
131,19.419,30.361,0,0.065,1.643,3.354,7.601,18.576,0.978
132,24.796,22.506,0,0.073,1.634,3.336,7.550,18.388,0.789
132,18.516,30.384,0,0.067,1.668,3.440,7.856,19.290,0.789
133,13.282,22.434,0,0.067,1.666,3.449,7.899,19.440,0.684
133,24.775,22.518,0,0.071,1.631,3.336,7.572,18.506,0.843
133,19.395,30.373,0,0.065,1.637,3.335,7.553,18.459,0.840
134,13.228,22.391,0,0.064,1.674,3.480,7.994,19.716,0.468
134,24.754,22.530,0,0.070,1.618,3.287,7.413,18.021,0.706
134,19.423,30.376,0,0.067,1.631,3.314,7.483,18.245,0.738
135,13.353,22.360,0,0.062,1.663,3.434,7.850,19.290,0.772
135,24.698,22.477,0,0.069,1.623,3.301,7.452,18.114,0.691
135,18.537,30.376,0,0.069,1.655,3.391,7.696,18.802,0.858
136,24.637,22.580,0,0.074,1.592,3.204,7.194,17.477,0.655
136,19.417,30.409,0,0.065,1.643,3.357,7.616,18.632,0.655
137,13.396,22.403,0,0.063,1.654,3.405,7.773,19.095,0.833
137,24.784,22.529,0,0.072,1.622,3.298,7.441,18.085,0.777
137,19.440,30.426,0,0.065,1.648,3.370,7.647,18.701,0.903
138,13.353,22.419,0,0.063,1.660,3.431,7.859,19.354,0.810
138,24.841,22.484,0,0.071,1.642,3.360,7.605,18.493,0.917
138,19.403,30.410,0,0.066,1.637,3.340,7.569,18.505,0.878
139,24.770,22.536,0,0.072,1.630,3.324,7.518,18.299,0.808
139,13.328,23.294,0,0.062,1.653,3.437,7.936,19.719,0.779
139,19.425,30.460,0,0.066,1.646,3.371,7.667,18.791,0.900
140,24.755,22.509,0,0.073,1.640,3.360,7.629,18.629,0.777
140,13.353,23.311,0,0.064,1.672,3.501,8.128,20.271,0.538
140,19.418,30.399,0,0.066,1.636,3.333,7.553,18.470,0.735
141,24.757,22.480,0,0.072,1.627,3.311,7.470,18.147,0.996
141,19.443,30.390,0,0.064,1.628,3.300,7.440,18.111,0.996
142,24.669,22.498,0,0.072,1.626,3.316,7.513,18.342,0.765
