Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,341,20.344,19.911,0,14.291,1.796,3.814,8.785,21.444,1.000
1,342,20.342,19.906,0,14.315,1.798,3.817,8.789,21.443,1.000
1,343,20.434,20.502,0,15.499,1.798,3.812,8.753,21.285,1.000
1,344,20.269,19.962,0,13.689,1.768,3.714,8.484,20.572,1.000
1,345,20.340,20.541,0,15.421,1.818,3.881,8.965,21.902,1.000
1,346,20.417,20.441,0,15.199,1.778,3.739,8.537,20.665,1.000
1,347,19.730,19.997,0,13.431,1.789,3.792,8.737,21.348,1.000
1,348,20.293,20.562,0,15.441,1.825,3.902,9.023,22.050,1.000
1,349,19.789,19.980,0,13.293,1.781,3.766,8.657,21.118,1.000
1,350,20.264,20.591,0,15.307,1.823,3.897,9.010,22.027,1.000
1,351,20.270,20.639,0,15.246,1.832,3.930,9.114,22.335,1.000
1,352,20.293,20.634,0,15.339,1.826,3.907,9.041,22.115,1.000
1,353,19.775,20.637,0,14.986,1.810,3.857,8.902,21.751,1.000
1,354,20.364,20.619,0,15.443,1.806,3.837,8.826,21.485,1.000
1,355,20.281,20.601,0,15.134,1.802,3.823,8.788,21.386,1.000
1,356,20.194,20.667,0,14.906,1.826,3.907,9.043,22.128,1.000
1,357,20.211,20.654,0,14.960,1.822,3.897,9.013,22.040,1.000
1,358,20.232,20.596,0,15.155,1.813,3.862,8.908,21.733,1.000
1,359,20.231,20.622,0,15.055,1.812,3.859,8.896,21.695,1.000
1,360,20.333,20.646,0,14.987,1.783,3.758,8.592,20.825,1.000
1,361,20.277,20.495,0,15.144,1.808,3.846,8.862,21.608,1.000
1,362,20.216,20.722,0,14.572,1.812,3.860,8.902,21.723,1.000
